rearrange_adhesions,update_frame,update_nuc,update_cell,correct_conc,diffuse_k0,save_state,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,115,7,0,20,0,
0,0,115,7,0,20,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,118,7,0,20,0,
0,0,116,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,19,0,
0,0,114,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,20,0,
0,0,112,7,0,22,0,
0,0,111,7,0,21,0,
0,0,112,7,0,20,0,
0,0,112,7,0,20,0,
0,0,112,7,0,21,0,
0,0,112,7,0,20,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,116,7,0,22,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,20,0,
0,0,112,7,0,20,0,
0,0,115,7,0,21,0,
0,0,114,7,0,20,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,10,
0,0,115,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,20,0,
0,0,113,7,0,21,0,
0,0,115,7,0,20,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,8,0,21,0,
0,0,114,7,0,21,0,
0,0,115,8,0,21,0,
0,0,115,8,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,20,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,22,0,
0,0,115,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,117,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,22,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,8,0,22,0,
0,0,116,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,7,0,20,0,
0,0,113,7,0,20,0,
0,0,114,7,0,19,0,
0,0,113,7,0,20,0,
0,0,113,7,0,21,0,
0,0,112,8,0,21,0,
0,0,113,8,0,19,0,
0,0,113,8,0,21,0,
0,0,114,7,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,112,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,20,0,
0,0,113,7,0,21,0,
0,0,113,8,0,20,0,
0,0,113,8,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,20,0,
0,0,112,8,0,21,0,
0,0,113,8,0,21,0,
0,0,112,7,0,21,0,
0,0,114,7,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,8,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,21,0,
0,0,112,7,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,20,0,
0,0,114,8,0,21,0,
0,0,116,7,0,20,0,
0,0,115,7,0,21,0,
0,0,114,8,0,20,10,
77,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,115,7,0,19,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,19,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,7,0,21,0,
0,0,116,7,0,22,0,
0,0,117,8,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,20,0,
0,0,115,7,0,21,0,
0,0,116,7,0,21,0,
0,0,115,7,0,21,0,
0,0,116,7,0,20,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,22,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,8,0,21,0,
0,0,114,7,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,20,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,115,8,0,19,0,
0,0,114,8,0,20,0,
0,0,114,8,0,20,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,22,0,
0,0,116,8,0,21,0,
0,0,115,8,0,20,0,
0,0,115,8,0,20,0,
0,0,115,8,0,21,0,
0,0,115,8,0,21,0,
0,0,116,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,112,8,0,21,0,
0,0,112,8,0,21,0,
0,0,112,8,0,20,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,19,0,
0,0,113,8,0,21,0,
0,0,112,8,0,21,0,
0,0,112,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,21,0,
0,0,112,8,0,19,0,
0,0,114,7,0,21,0,
0,0,112,8,0,21,0,
0,0,112,8,0,20,0,
0,0,112,8,0,20,0,
0,0,112,8,0,20,0,
0,0,112,8,0,21,0,
0,0,112,8,0,21,0,
0,0,112,8,0,20,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,10,
0,0,116,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,22,0,
0,0,113,8,0,19,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,112,8,0,21,0,
0,0,113,8,0,21,0,
0,0,112,8,0,21,0,
0,0,113,8,0,20,0,
0,0,113,8,0,21,0,
0,0,113,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,113,8,0,20,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,20,0,
0,0,114,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,7,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,20,0,
0,0,113,8,0,20,0,
0,0,114,8,0,20,0,
0,0,114,8,0,20,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,22,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,113,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,115,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,7,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,115,8,0,21,0,
0,0,116,8,0,22,0,
0,0,116,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,22,0,
0,0,119,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,116,7,0,21,0,
0,0,115,8,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,115,8,0,22,0,
0,0,115,7,0,22,0,
0,0,120,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,22,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,113,7,0,20,0,
0,0,113,7,0,21,0,
0,0,115,7,0,20,0,
0,0,114,7,0,21,0,
0,0,117,7,0,21,10,
75,0,116,7,0,21,0,
0,0,115,8,0,21,0,
0,0,115,7,0,21,0,
0,0,113,7,0,20,0,
0,0,114,7,0,20,0,
0,0,114,8,0,19,0,
0,0,113,8,0,20,0,
0,0,113,8,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,20,0,
0,0,114,7,0,20,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,116,7,0,19,0,
0,0,115,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,20,0,
0,0,114,7,0,20,0,
0,0,113,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,8,0,21,0,
0,0,112,7,0,21,0,
0,0,112,8,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,7,0,22,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,116,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,20,0,
0,0,118,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,20,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,22,0,
0,0,116,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,115,7,0,20,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,8,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,20,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,8,0,21,0,
0,0,114,7,0,21,10,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,19,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,20,0,
0,0,114,7,0,20,0,
0,0,117,8,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,117,8,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,20,0,
0,0,113,7,0,21,0,
0,0,114,7,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,20,0,
0,0,114,7,0,19,0,
0,0,114,7,0,20,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,115,7,0,20,0,
0,0,115,8,0,21,0,
0,0,116,8,0,20,0,
0,0,115,8,0,20,0,
0,0,115,8,0,21,0,
0,0,114,8,0,20,0,
0,0,115,8,0,21,0,
0,0,115,7,0,20,0,
0,0,115,8,0,20,0,
0,0,114,7,0,20,0,
0,0,114,8,0,20,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,114,7,0,21,0,
0,0,119,7,0,20,0,
0,0,115,8,0,21,0,
0,0,115,7,0,22,0,
0,0,119,7,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,19,0,
0,0,114,7,0,19,0,
0,0,114,7,0,19,0,
0,0,114,8,0,21,0,
0,0,114,8,0,19,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,7,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,116,7,0,21,10,
74,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,118,8,0,20,0,
0,0,115,8,0,20,0,
0,0,115,8,0,20,0,
0,0,114,8,0,20,0,
0,0,113,8,0,21,0,
0,0,114,8,0,20,0,
0,0,113,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,116,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,22,0,
0,0,115,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,7,0,21,0,
0,0,114,8,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,19,0,
0,0,113,7,0,20,0,
0,0,113,7,0,20,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,19,0,
0,0,114,7,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,20,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,115,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,7,0,21,0,
0,0,115,8,0,26,0,
0,0,117,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,22,0,
0,0,117,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,19,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,125,12,0,23,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,7,0,21,0,
0,0,115,7,0,20,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,115,8,0,21,0,
0,0,115,8,0,21,0,
0,0,116,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,20,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,19,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,7,0,21,0,
0,0,114,8,0,19,0,
0,0,114,8,0,21,0,
0,0,114,8,0,19,10,
0,0,114,8,0,21,0,
0,0,113,8,0,20,0,
0,0,114,8,0,19,0,
0,0,113,8,0,20,0,
0,0,114,8,0,20,0,
0,0,113,8,0,20,0,
0,0,114,8,0,20,0,
0,0,115,8,0,20,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,115,8,0,19,0,
0,0,114,8,0,21,0,
0,0,115,8,0,20,0,
0,0,115,8,0,20,0,
0,0,114,8,0,20,0,
0,0,116,8,0,21,0,
0,0,116,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,19,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,7,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,116,8,0,20,0,
0,0,115,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,115,8,0,20,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,20,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,19,0,
0,0,115,8,0,21,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,115,8,0,21,0,
0,0,115,8,0,19,0,
0,0,114,8,0,20,0,
0,0,115,8,0,20,0,
0,0,115,8,0,19,0,
0,0,115,8,0,20,0,
0,0,116,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,113,8,0,21,10,
75,0,113,8,0,20,0,
0,0,114,8,0,20,0,
0,0,114,8,0,20,0,
0,0,114,8,0,21,0,
0,0,114,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,20,0,
0,0,115,8,0,21,0,
0,0,114,8,0,21,0,
0,0,117,8,0,21,0,
0,0,116,8,0,22,0,
0,0,117,8,0,21,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,19,0,
0,0,114,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,7,0,19,0,
0,0,114,8,0,19,0,
0,0,114,8,0,19,0,
0,0,113,8,0,19,0,
0,0,113,8,0,19,0,
0,0,113,8,0,20,0,
0,0,113,8,0,19,0,
0,0,113,8,0,19,0,
0,0,113,8,0,20,0,
0,0,113,8,0,20,0,
0,0,113,7,0,20,0,
0,0,113,8,0,20,0,
0,0,113,8,0,19,0,
0,0,113,8,0,21,0,
0,0,112,7,0,21,0,
0,0,113,8,0,21,0,
0,0,111,8,0,21,0,
0,0,112,8,0,21,0,
0,0,112,8,0,18,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,8,0,21,0,
0,0,111,7,0,21,0,
0,0,111,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,8,0,21,0,
0,0,112,8,0,21,0,
0,0,113,7,0,21,0,
0,0,113,8,0,21,0,
0,0,112,8,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,8,0,21,0,
0,0,114,8,0,21,0,
0,0,114,7,0,21,0,
0,0,113,8,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,8,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,21,0,
0,0,114,8,0,20,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,114,7,0,21,0,
0,0,113,7,0,20,0,
0,0,114,7,0,19,0,
0,0,113,7,0,19,0,
0,0,113,8,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,113,7,0,19,0,
0,0,112,7,0,21,0,
0,0,112,7,0,20,0,
0,0,113,7,0,19,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,22,0,
0,0,119,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,20,0,
0,0,113,7,0,19,0,
0,0,112,7,0,20,0,
0,0,113,7,0,20,0,
0,0,115,7,0,21,10,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,8,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,20,0,
0,0,113,7,0,21,0,
0,0,116,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,20,0,
0,0,114,7,0,21,0,
0,0,113,8,0,20,0,
0,0,112,8,0,21,0,
0,0,113,8,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,114,8,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,112,7,0,21,0,
0,0,112,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,114,7,0,21,0,
0,0,113,7,0,21,0,
0,0,114,7,0,18,0,
0,0,114,7,0,21,0,
0,0,113,7,0,19,0,
0,0,114,7,0,19,0,
0,0,113,7,0,19,0,
0,0,114,7,0,20,0,
0,0,113,7,0,20,0,
0,0,114,7,0,19,0,
0,0,113,7,0,19,0,
0,0,113,7,0,19,0,
0,0,114,7,0,20,0,
0,0,113,7,0,19,0,
0,0,114,7,0,21,0,
